Service,Status,Capability,Capability Status
active-directory,N/A,active-directory\enterprise-state-roaming,Generally Available
active-directory,N/A,active-directory\external-identities,Not Available
active-directory-ds,Generally Available,N/A,N/A
advisor,Not Available,N/A,N/A
agri-data-services,Preview,N/A,N/A
aks-ee,Not Available,N/A,N/A
aks-hci,Not Available,N/A,N/A
analysis-services,Generally Available,N/A,N/A
api-management,Generally Available,N/A,N/A
app-center,Not Available,N/A,N/A
app-configuration,Generally Available,N/A,N/A
app-service,N/A,app-service\static,Not Available
app-service,N/A,app-service\web,Generally Available
app-service-linux,N/A,app-service\containers,Generally Available
app-service-linux,N/A,app-service\web-linux,Generally Available
application-gateway,Generally Available,N/A,N/A
automation,Generally Available,N/A,N/A
azure-arc,N/A,azure-arc-kubernetes,Generally Available
azure-arc,N/A,azure-arc-postgresql-hyperscale,Not Available
azure-arc,N/A,azure-arc-servers,Generally Available
azure-arc,N/A,azure-arc-sql-managed-instance,Generally Available
azure-arc,N/A,azure-arc-sql-server,Generally Available
azure-arc,N/A,azure-arc-vmware-vsphere,Not Available
azure-arc,N/A,system-center-virtual-machine-manager,Preview
azure-attestation,Generally Available,N/A,N/A
azure-automanage,Generally Available,N/A,N/A
azure-bastion,Generally Available,N/A,N/A
azure-dedicated-hsm,Generally Available,N/A,N/A
azure-devops,Not Available,N/A,N/A
azure-elastic-san,Preview,N/A,N/A
azure-firewall,Generally Available,N/A,N/A
azure-lighthouse,Not Available,N/A,N/A
azure-maps,Not Available,N/A,N/A
azure-migrate,Not Available,N/A,N/A
azure-network-function-manager,Not Available,N/A,N/A
azure-policy,N/A,azure-policy-guest-configuration,Not Available
azure-portal,Not Available,N/A,N/A
azure-rtos,Not Available,N/A,N/A
azure-sentinel,Not Available,N/A,N/A
azure-sphere,Not Available,N/A,N/A
azure-sql,N/A,azure-sql\managed-instance,Generally Available
azure-sql-database,Generally Available,N/A,N/A
azure-stack-edge,Not Available,N/A,N/A
azure-stack-hub,Not Available,N/A,N/A
azure-vmware,N/A,azure-vmware-av36,Generally Available
azure-vmware,N/A,azure-vmware-av36p,Generally Available
azure-vmware,N/A,azure-vmware-av52,Not Available
azure-vmware-cloudsimple,Generally Available,N/A,N/A
backup,Generally Available,N/A,N/A
batch,Generally Available,N/A,N/A
blueprints,Not Available,N/A,N/A
bot-services,N/A,health-bot,Generally Available
cdn,Not Available,N/A,N/A
center-for-sap-solutions,Generally Available,N/A,N/A
center-sap-solutions,Generally Available,N/A,N/A
chaos-studio,N/A,chaos-studio-resource-targeting,Preview
cloud-services,N/A,a-series,Generally Available
cloud-services,N/A,av2-series,Generally Available
cloud-services,N/A,compute-intensive,Generally Available
cloud-services,N/A,d-series,Generally Available
cloud-services,N/A,dv2-series,Generally Available
cloud-services,N/A,dv3-series,Generally Available
cloud-services,N/A,ev3-series,Generally Available
cloud-services,N/A,g-series,Not Available
cloud-services,N/A,h-series,Generally Available
cloud-services,N/A,instance-ip,Generally Available
cloud-services,N/A,lsv2-series,Generally Available
cloud-services,N/A,m-series,Generally Available
cloud-services,N/A,reserved-ip,Generally Available
cloud-shell,Not Available,N/A,N/A
cognitive-services,N/A,anomaly-detector,Generally Available
cognitive-services,N/A,cognitive-services\personalizer,Generally Available
cognitive-services,N/A,cognitive-services\qna-maker,Generally Available
cognitive-services,N/A,computer-vision,Generally Available
cognitive-services,N/A,content-moderator,Generally Available
cognitive-services,N/A,custom-vision-service,Generally Available
cognitive-services,N/A,face-api,Generally Available
cognitive-services,N/A,form-recognizer,Generally Available
cognitive-services,N/A,immersive-reader,Generally Available
cognitive-services,N/A,language-service,Generally Available
cognitive-services,N/A,language-understanding-intelligent-services,Generally Available
cognitive-services,N/A,metrics-advisor,Generally Available
cognitive-services,N/A,openai-service,Generally Available
cognitive-services,N/A,speaker-recognition,Not Available
cognitive-services,N/A,speech-services,Generally Available
cognitive-services,N/A,translator-text-api,Not Available
cognitive-services,N/A,video-indexer,Generally Available
communication-services,Not Available,N/A,N/A
communications-gateway,Generally Available,N/A,N/A
confidential-ledger,Generally Available,N/A,N/A
container-apps,Generally Available,N/A,N/A
container-instances,Generally Available,N/A,N/A
container-registry,Generally Available,N/A,N/A
container-service-v2,Generally Available,N/A,N/A
container-storage,Preview,N/A,N/A
cosmos-db,N/A,postgresql-hyperscale-citus,Generally Available
cost-management,Not Available,N/A,N/A
customer-engagement-fabric,Not Available,N/A,N/A
data-catalog,Generally Available,N/A,N/A
data-explorer,Generally Available,N/A,N/A
data-factory,N/A,data-factory-v1,Generally Available
data-lake-analytics,Not Available,N/A,N/A
